Name,Distance (m),Cuisine,Phone,Website,Email,Address
Cà Phê Cây Bàng Đổ,1794,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin
Cà Phê Kafa,1108,Không có thông tin,+84972954668,Không có thông tin,Không có thông tin,"118, Đường Nguyễn Khánh Toàn, Hà Nội, 10000"
Trà Xuân Tửu,2389,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin
Cà Phê AnAn,1798,Không có thông tin,+84963088883,www.anancoffee.com,contact@anancoffee.com,"1, Phùng Chí Kiên"
Unknown,1534,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin
Unknown,1778,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Phùng Chí Kiên
Nhà Hàng Ba Ba,1981,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,"95, Hoàng Quốc Việt"
Unknown,1419,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,"299, Đường Cầu Giấy"
Cà Phê 4 Seasons,1287,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin
Nhà Hàng Highway 4,475,vietnamese,+84 243 771 6372,Không có thông tin,Không có thông tin,"575, Ngõ 575 Kim Mã, Hà Nội"
Nhà Hàng New Sake 1,1538,japanese,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin
PAKU PAKU(波食波食）,1532,japanese,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin
Pizza Hut,1171,pizza,Không có thông tin,Không có thông tin,Không có thông tin,"409, Kim Mã, Hà Nội"
Unknown,1522,japanese,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin
Nhà Hàng Koto,576,japanese,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin
Nhà Hàng Kurama(蔵馬）,615,japanese,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin
Totoya(ととや）,793,japanese,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin
Izakaya Yancha,455,japanese,+84 243 7247 008,Không có thông tin,Không có thông tin,"579, Phố Kim Mã, Hà Nội"
Kitaguni,282,japanese,+84 243 766 3776,Không có thông tin,Không có thông tin,"639, Phố Kim Mã, Hà Nội"
Ofukuro,144,japanese,Không có thông tin,Không có thông tin,Không có thông tin,"Phố Kim Mã, Hà Nội"
